IdConvenio,nome
84,ASSEFAZ
95,AUSSEL
173,AVUS
278,BRADESCO OPERADORA 421715
226,BRADESCO SAUDE 005711
118,CARTAO TEM
172,COOPER
275,DONA SAUDE CLINICAS LTDA
235,DOUTOR HOJE
203,DR. EXAME
128,ECONOMUS
85,FUNDAÇÃO CESP (VIVEST)
146,GEAP
240,HAPVIDA (MEDSEL)
71,INTERMEDICA
304,INTERMEDICA ATENDER
215,LEADER SAUDE
73,LIFE
74,MEDISERVICE
152,MEDNET
107,PARTICULAR
244,PARTICULAR PARCERIAS
137,PLANO MÚTUO
143,PLANTÃO BEM ESTAR
75,POLICLIN
77,PORTO SEGURO
121,POSTAL SAUDE
257,PRESTOMED
188,REDE MAIS SAUDE
115,SANTA CASA SAUDE (MEDSEL)
79,SÃO FRANCISCO VIDA
201,SEPACO
111,SINDESPORTE
199,SPA SAUDE
81,SUL AMERICA
162,TEMPO USS
72,TOTAL MEDCARE
126,UNICA SAÚDE
239,UNIMED EXTRA CONTRATUAL
161,UNIMED SJC
82,UNIMED VALE NOVO PAULISTA
185,VALE SAUDE SEMPRE